product,shangbiao_sign,nongchanpin_sign,baohu_sign,dili_sign,first_addr,second_addr,third_addr,first_areaid,second_areaid,third_areaid,len,area_label,prod_label,,,,
上海金属工艺,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,6,上海,金属工艺,2,4,6,
原笼粉蒸牛肉,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,6,原笼,粉蒸牛肉,2,4,6,
宝山鮰鱼,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,4,宝山,鮰鱼,2,2,4,
宝杨黄瓜,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,4,宝杨,黄瓜,2,2,4,
游子老鸭粉丝汤,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,7,游子,老鸭粉丝汤,2,5,7,
烟熏鲳鱼,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,4,烟熏,鲳鱼,2,2,4,
金属工艺,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,4,宝山,金属工艺,2,4,4,
鸡丝炒面,0,0,0,0,上海,市辖区,宝山区,31,3101,310113,4,鸡丝,炒面,2,2,4,
上海芦笋,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,4,上海,芦笋,2,2,4,
上海银鱼,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,4,上海,银鱼,2,2,4,
人造花,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,3,崇明,人造花,2,3,3,
凤尾鱼罐头,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,凤尾鱼,罐头,3,2,5,
昌平薄脆,0,0,0,0,北京,市辖区,昌平区,11,1101,110114,4,昌平,薄脆,2,2,4,
大红袍赤豆,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,崇明,大红袍赤豆,2,5,5,
崇明大白菜,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,崇明,大白菜,2,3,5,
崇明水仙花,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,崇明,水仙花,2,3,5,
崇明甜包瓜,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,崇明,甜包瓜,2,3,5,
崇明糕,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,3,崇明,崇明糕,2,3,3,
崇明花菜,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,4,崇明,花菜,2,2,4,
崇明酱包瓜,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,崇明,酱包瓜,2,3,5,
崇明香芋,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,4,崇明,崇明香芋,2,4,4,
浪花香天鱼,0,0,0,0,上海,市辖区,崇明区,31,3101,310151,5,浪花,香天鱼,2,3,5,
